"Brand","Average_Price_Lakh","Average_Power_BHP","Average_Kilometers_Per_Year","Count","Popular_list"
"Mercedes-Benz",29.06,192.66,3746.68,260,"Yes"
"BMW",27.56,211.24,4435.29,205,"Yes"
"Audi",26.21,191.74,4284.04,188,"Yes"
"Toyota",12.67,128.8,6117.36,320,"Yes"
"Mahindra",8.53,121.79,5403.77,219,"Yes"
"Skoda",8.21,128.58,5108.75,144,"Yes"
"Ford",7.99,100.33,4673.84,232,"Yes"
"Hyundai",5.83,92.36,3972.87,882,"Yes"
"Renault",5.77,85.5,4492.24,127,"Yes"
"Honda",5.73,106.12,4078.09,499,"Yes"
"Volkswagen",5.37,94.08,4547.55,266,"Yes"
"Maruti",4.88,75.33,4211.63,972,"Yes"
"Nissan",4.81,85.52,5035.89,75,"Yes"
"Tata",4.14,80.81,5013.81,135,"Yes"
"Chevrolet",3.19,91.29,4470.34,88,"Yes"
"Bentley",59,552,2400,1,"No"
"Porsche",49.26,314.21,3987.8,11,"No"
"Land",43.42,188.23,4931.8,42,"No"
"Jaguar",38.69,242.47,2931.32,36,"No"
"Mini",28.35,150.57,2106.85,20,"No"
"Isuzu",20,174.57,3825.44,1,"No"
"Volvo",19.21,192.25,5806.55,16,"No"
"Jeep",18.72,169.33,3309.23,15,"No"
"Mitsubishi",13.29,149.33,5237.12,19,"No"
"ISUZU",12.04,134,2665.26,2,"No"
"Force",9.33,139.03,3666.67,3,"No"
"Fiat",3.72,89.62,4425.56,20,"No"
"Datsun",3.05,59.72,2057.43,13,"No"
